domain,url,risk_score,category,type,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"kyralysauthor.com","https://kyralysauthor.com",3,"blacklist_match","blacklist_match","","auth",0,0,"false","","","2025-06-29T08:55:16.834Z"
"kyrgyzstan-evisa.com","https://kyrgyzstan-evisa.com",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-06-29T08:55:33.252Z"
"kyrrexbank.com","https://kyrrexbank.com",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T08:55:49.697Z"
"kytchase.com","https://kytchase.com",5,"medium_risk","enterprise_target","chase","",0,0,"false","","","2025-06-29T08:56:06.398Z"
"kyty-kaiyunlogin.com","https://kyty-kaiyunlogin.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-06-29T08:56:23.202Z"
"kyuintelligence.com","https://kyuintelligence.com",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-06-29T08:56:39.572Z"
"kyuintelligenceplatform.com","https://kyuintelligenceplatform.com",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-06-29T08:56:55.979Z"
"kz999-login.com","https://kz999-login.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-06-29T08:57:12.381Z"
"kzcrypto.com","https://kzcrypto.com",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","","","2025-06-29T08:57:28.821Z"
"kzcyincometax.com","https://kzcyincometax.com",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-06-29T08:57:45.346Z"
