domain,url,risk_score,category,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"0bitcoin.xyz","https://0bitcoin.xyz",7,"medium_risk","","bitcoin",0,4,"false","","","2025-07-01T13:34:39.899Z"
"0coinbasewallet.xyz","https://0coinbasewallet.xyz",7,"medium_risk","","wallet",0,4,"false","","","2025-07-01T13:34:56.720Z"
"0cryptocurrency.xyz","https://0cryptocurrency.xyz",7,"medium_risk","","crypto",0,4,"false","","","2025-07-01T13:35:13.121Z"
"0110bitcoin.xyz","https://0110bitcoin.xyz",6,"medium_risk","","bitcoin",0,3,"false","","","2025-07-01T13:30:39.856Z"
"0wallet.xyz","https://0wallet.xyz",6,"medium_risk","","wallet",0,3,"false","","","2025-07-01T13:36:37.417Z"
"02crypto.xyz","https://02crypto.xyz",5,"medium_risk","","crypto",0,2,"false","","","2025-07-01T13:33:12.438Z"
"0xbitcointrade.xyz","https://0xbitcointrade.xyz",5,"medium_risk","","bitcoin",0,2,"false","","","2025-07-01T13:39:26.364Z"
"0xbitcoinbank.xyz","https://0xbitcoinbank.xyz",4,"blacklist_match","","bitcoin;bank",0,1,"false","","","2025-07-01T13:37:45.425Z"
"0xbitcoinfi.xyz","https://0xbitcoinfi.xyz",4,"blacklist_match","","bitcoin",0,1,"false","","","2025-07-01T13:38:01.996Z"
"0xbitcoinfinance.xyz","https://0xbitcoinfinance.xyz",4,"blacklist_match","","bitcoin",0,1,"false","","","2025-07-01T13:38:18.833Z"
"0xbitcoinmarket.xyz","https://0xbitcoinmarket.xyz",4,"blacklist_match","","bitcoin",0,1,"false","","","2025-07-01T13:38:36.409Z"
"0xbitcoinpay.xyz","https://0xbitcoinpay.xyz",4,"blacklist_match","","bitcoin",0,1,"false","","","2025-07-01T13:38:53.179Z"
"0xbitcoinswap.xyz","https://0xbitcoinswap.xyz",4,"blacklist_match","","bitcoin",0,1,"false","","","2025-07-01T13:39:09.606Z"
"0xcryptos.xyz","https://0xcryptos.xyz",4,"blacklist_match","","crypto",0,1,"false","","","2025-07-01T13:39:42.843Z"
"crypto2cash.se","https://crypto2cash.se",3,"blacklist_match","","crypto",0,0,"false","","","2025-07-01T13:01:10.903Z"
"cryptomark.se","https://cryptomark.se",3,"blacklist_match","","crypto",0,0,"false","","","2025-07-01T13:01:27.627Z"
"lngaccounting.se","https://lngaccounting.se",3,"blacklist_match","","account",0,0,"false","","","2025-07-01T13:02:38.306Z"
"celion-accounting.se","https://celion-accounting.se",3,"blacklist_match","","account",0,0,"false","","","2025-07-01T13:03:11.556Z"
"krabbanknut.se","https://krabbanknut.se",3,"blacklist_match","","bank",0,0,"false","","","2025-07-01T13:04:02.303Z"
"atlasbank.se","https://atlasbank.se",3,"blacklist_match","","bank",0,0,"false","","","2025-07-01T13:04:21.636Z"
