domain,url,risk_score,category,type,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"crypto2cash.se","https://crypto2cash.se",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","","","2025-07-01T13:01:10.903Z"
"cryptomark.se","https://cryptomark.se",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","","","2025-07-01T13:01:27.627Z"
"aaintelligence.se","https://aaintelligence.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-07-01T13:01:44.215Z"
"devisafe.se","https://devisafe.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-07-01T13:02:00.867Z"
"whitepurepaws.se","https://whitepurepaws.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-07-01T13:02:21.456Z"
"lngaccounting.se","https://lngaccounting.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-07-01T13:02:38.306Z"
"applemax.sk","https://applemax.sk",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-07-01T13:02:55.128Z"
"celion-accounting.se","https://celion-accounting.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-07-01T13:03:11.556Z"
"upplevamazonas.se","https://upplevamazonas.se",5,"medium_risk","enterprise_target","amazon","",0,0,"false","","","2025-07-01T13:03:28.052Z"
"inteligentne-systemy.sk","https://inteligentne-systemy.sk",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-07-01T13:03:45.452Z"
"krabbanknut.se","https://krabbanknut.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-01T13:04:02.303Z"
"atlasbank.se","https://atlasbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-01T13:04:21.636Z"
"applesin.se","https://applesin.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-07-01T13:04:39.897Z"
"sentinelone.se","https://sentinelone.se",5,"medium_risk","enterprise_target","sentinelone","",0,0,"false","","","2025-07-01T13:04:56.696Z"
"grantibank.nu","https://grantibank.nu",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-01T13:05:21.182Z"
"vykupbankoviek.sk","https://vykupbankoviek.sk",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-01T13:05:38.011Z"
"amsecure.sk","https://amsecure.sk",3,"blacklist_match","blacklist_match","","secure",0,0,"false","","","2025-07-01T13:05:54.501Z"
"altioraintelligence.se","https://altioraintelligence.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-07-01T13:06:11.067Z"
"banklaan.se","https://banklaan.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-01T13:06:27.584Z"
"unicreditbank.se","https://unicreditbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-01T13:06:44.053Z"
"bullypaws.se","https://bullypaws.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-07-01T13:07:00.765Z"
"esdesigninterior.se","https://esdesigninterior.se",3,"blacklist_match","blacklist_match","","signin",0,0,"false","","","2025-07-01T13:07:23.066Z"
"smartaccount.se","https://smartaccount.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-07-01T13:07:40.328Z"
"upplevamazonas.se","https://upplevamazonas.se",5,"medium_risk","enterprise_target","amazon","",0,0,"false","","","2025-07-01T13:07:57.343Z"
"teslarobotaxi.se","https://teslarobotaxi.se",5,"medium_risk","enterprise_target","tesla","",0,0,"false","","","2025-07-01T13:08:14.228Z"
"casinomedpaypal.se","https://casinomedpaypal.se",6,"medium_risk","enterprise_target","paypal","",0,1,"false","","","2025-07-01T13:08:30.682Z"
"visaljerdittab.se","https://visaljerdittab.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-07-01T13:08:47.302Z"
"jpmorganpersonalinvesting.se","https://jpmorganpersonalinvesting.se",5,"medium_risk","enterprise_target","jpmorgan","",0,0,"false","","","2025-07-01T13:09:04.936Z"
"octave-intelligence.com.ee","https://octave-intelligence.com.ee",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-07-01T13:09:26.927Z"
"banklaan.se","https://banklaan.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-01T13:09:43.573Z"
"handelsbankenfoundations.se","https://handelsbankenfoundations.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-01T13:10:00.075Z"
"grantibank.nu","https://grantibank.nu",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-01T13:10:16.554Z"
"verifyagentic.se","https://verifyagentic.se",3,"blacklist_match","blacklist_match","","verify",0,0,"false","","","2025-07-01T13:10:33.016Z"
"profilmetal.se","https://profilmetal.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-01T13:10:49.711Z"
"soderhamnsmetall.se","https://soderhamnsmetall.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-01T13:11:06.580Z"
"ns2.casinomedpaypal.se","https://ns2.casinomedpaypal.se",5,"medium_risk","enterprise_target","paypal","",0,0,"false","","","2025-07-01T13:11:23.226Z"
"metaglucin.sk","https://metaglucin.sk",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-01T13:11:39.826Z"
"ns1.instantbankingcasino.se","https://ns1.instantbankingcasino.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-01T13:11:56.310Z"
"ns2.casinoapplepay.se","https://ns2.casinoapplepay.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-07-01T13:12:13.138Z"
"luvisage.sk","https://luvisage.sk",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-07-01T13:12:29.542Z"
"metamental.se","https://metamental.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-01T13:12:46.436Z"
"accountieai.se","https://accountieai.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-07-01T13:13:02.845Z"
"nordiskametallindustri.se","https://nordiskametallindustri.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-01T13:13:19.426Z"
"nordi-paws.se","https://nordi-paws.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-07-01T13:13:36.008Z"
"devisafe.se","https://devisafe.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-07-01T13:13:52.641Z"
"dropshipintel.se","https://dropshipintel.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-07-01T13:14:09.201Z"
"octaveintelligence.ee","https://octaveintelligence.ee",7,"confirmed_threat","enterprise_target","intel","",1,0,"false","","","2025-07-01T13:14:25.961Z"
"psykologinbakom.nu","https://psykologinbakom.nu",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-01T13:14:43.178Z"
"casinomedapplepayutansvensklicens.se","https://casinomedapplepayutansvensklicens.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-07-01T13:14:59.650Z"
"agmetalart.se","https://agmetalart.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-01T13:15:16.220Z"
"ns2.casinoinstantbanking.se","https://ns2.casinoinstantbanking.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-01T13:15:32.997Z"
"metacoach.sk","https://metacoach.sk",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-01T13:15:49.410Z"
"callunaminingsolutions.se","https://callunaminingsolutions.se",3,"blacklist_match","blacklist_match","","mining",0,0,"false","","","2025-07-01T13:16:06.116Z"
"ns2.casinomedvisakort.se","https://ns2.casinomedvisakort.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-07-01T13:16:22.877Z"
"authenticdialogue.se","https://authenticdialogue.se",3,"blacklist_match","blacklist_match","","auth",0,0,"false","","","2025-07-01T13:16:39.696Z"
"nordpantbank.se","https://nordpantbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-01T13:16:59.060Z"
"cryptoipant.se","https://cryptoipant.se",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","","","2025-07-01T13:17:15.918Z"
"bitcoin-bv.nu","https://bitcoin-bv.nu",3,"blacklist_match","blacklist_match","","bitcoin",0,0,"false","","","2025-07-01T13:17:32.917Z"
"casinoapplepay.se","https://casinoapplepay.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-07-01T13:17:51.762Z"
"lisaintel.se","https://lisaintel.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-07-01T13:18:09.870Z"
"seb-bank.se","https://seb-bank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-01T13:18:26.624Z"
"teslarobotaxi.nu","https://teslarobotaxi.nu",5,"medium_risk","enterprise_target","tesla","",0,0,"false","","","2025-07-01T13:18:43.004Z"
"vykupbankoviek.sk","https://vykupbankoviek.sk",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-01T13:18:59.811Z"
"jpmorgan-etp.se","https://jpmorgan-etp.se",5,"medium_risk","enterprise_target","jpmorgan","",0,0,"false","","","2025-07-01T13:19:16.643Z"
"ns2.applepaycasino.se","https://ns2.applepaycasino.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-07-01T13:19:33.766Z"
"amsecure.sk","https://amsecure.sk",3,"blacklist_match","blacklist_match","","secure",0,0,"false","","","2025-07-01T13:19:50.560Z"
"airbank.se","https://airbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-01T13:20:07.073Z"
"krabbanknut.se","https://krabbanknut.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-01T13:20:25.125Z"
"casinomedvisakort.se","https://casinomedvisakort.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-07-01T13:20:41.751Z"
"omsorgsbanken.nu","https://omsorgsbanken.nu",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-01T13:20:58.180Z"
"celion-accounting.se","https://celion-accounting.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-07-01T13:21:14.774Z"
"sentinelone.se","https://sentinelone.se",5,"medium_risk","enterprise_target","sentinelone","",0,0,"false","","","2025-07-01T13:21:31.608Z"
"xn--superorbank-scb.se","https://xn--superorbank-scb.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-01T13:21:48.857Z"
"pawsinmotion.se","https://pawsinmotion.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-07-01T13:22:05.346Z"
"ns2.casinomedapplepayutansvensklicens.se","https://ns2.casinomedapplepayutansvensklicens.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-07-01T13:22:21.797Z"
"gorillabank.se","https://gorillabank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-01T13:22:38.327Z"
"metallprodukt.sk","https://metallprodukt.sk",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-01T13:22:55.071Z"
"accountbuddy.se","https://accountbuddy.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-07-01T13:23:11.676Z"
"guldauth.se","https://guldauth.se",3,"blacklist_match","blacklist_match","","auth",0,0,"false","","","2025-07-01T13:23:28.136Z"
"metami.se","https://metami.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-01T13:23:44.701Z"
"paypalworld.ee","https://paypalworld.ee",5,"medium_risk","enterprise_target","paypal","",0,0,"false","","","2025-07-01T13:24:01.522Z"
"autonomobank.se","https://autonomobank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-01T13:24:25.354Z"
"bill-xfinty-securenexus.se","https://bill-xfinty-securenexus.se",3,"blacklist_match","blacklist_match","","secure",0,0,"false","","","2025-07-01T13:24:42.855Z"
"ns1.casinomedapplepayutansvensklicens.se","https://ns1.casinomedapplepayutansvensklicens.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-07-01T13:24:59.340Z"
"salusbank.se","https://salusbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-01T13:25:16.385Z"
