domain,url,risk_score,category,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"0000apple.com","https://0000apple.com",11,"confirmed_threat","apple","",2,2,"false","","","2025-07-01T13:28:37.879Z"
"0000apple.com","https://0000apple.com",11,"confirmed_threat","apple","",2,2,"false","","","2025-07-01T13:39:59.268Z"
"octaveintelligence.ee","https://octaveintelligence.ee",7,"confirmed_threat","intel","",1,0,"false","","","2025-07-01T13:14:25.961Z"
"06-2024-q35ibm9u1u.com","https://06-2024-q35ibm9u1u.com",7,"confirmed_threat","ibm","",1,0,"false","","","2025-07-01T13:33:49.192Z"
"casinomedpaypal.se","https://casinomedpaypal.se",6,"medium_risk","paypal","",0,1,"false","","","2025-07-01T13:08:30.682Z"
"aaintelligence.se","https://aaintelligence.se",5,"medium_risk","intel","",0,0,"false","","","2025-07-01T13:01:44.215Z"
"devisafe.se","https://devisafe.se",5,"medium_risk","visa","",0,0,"false","","","2025-07-01T13:02:00.867Z"
"whitepurepaws.se","https://whitepurepaws.se",5,"medium_risk","aws","",0,0,"false","","","2025-07-01T13:02:21.456Z"
"applemax.sk","https://applemax.sk",5,"medium_risk","apple","",0,0,"false","","","2025-07-01T13:02:55.128Z"
"upplevamazonas.se","https://upplevamazonas.se",5,"medium_risk","amazon","",0,0,"false","","","2025-07-01T13:03:28.052Z"
"inteligentne-systemy.sk","https://inteligentne-systemy.sk",5,"medium_risk","intel","",0,0,"false","","","2025-07-01T13:03:45.452Z"
"applesin.se","https://applesin.se",5,"medium_risk","apple","",0,0,"false","","","2025-07-01T13:04:39.897Z"
"sentinelone.se","https://sentinelone.se",5,"medium_risk","sentinelone","",0,0,"false","","","2025-07-01T13:04:56.696Z"
"altioraintelligence.se","https://altioraintelligence.se",5,"medium_risk","intel","",0,0,"false","","","2025-07-01T13:06:11.067Z"
"bullypaws.se","https://bullypaws.se",5,"medium_risk","aws","",0,0,"false","","","2025-07-01T13:07:00.765Z"
"upplevamazonas.se","https://upplevamazonas.se",5,"medium_risk","amazon","",0,0,"false","","","2025-07-01T13:07:57.343Z"
"teslarobotaxi.se","https://teslarobotaxi.se",5,"medium_risk","tesla","",0,0,"false","","","2025-07-01T13:08:14.228Z"
"visaljerdittab.se","https://visaljerdittab.se",5,"medium_risk","visa","",0,0,"false","","","2025-07-01T13:08:47.302Z"
"jpmorganpersonalinvesting.se","https://jpmorganpersonalinvesting.se",5,"medium_risk","jpmorgan","",0,0,"false","","","2025-07-01T13:09:04.936Z"
"octave-intelligence.com.ee","https://octave-intelligence.com.ee",5,"medium_risk","intel","",0,0,"false","","","2025-07-01T13:09:26.927Z"
"profilmetal.se","https://profilmetal.se",5,"medium_risk","meta","",0,0,"false","","","2025-07-01T13:10:49.711Z"
"soderhamnsmetall.se","https://soderhamnsmetall.se",5,"medium_risk","meta","",0,0,"false","","","2025-07-01T13:11:06.580Z"
"ns2.casinomedpaypal.se","https://ns2.casinomedpaypal.se",5,"medium_risk","paypal","",0,0,"false","","","2025-07-01T13:11:23.226Z"
"metaglucin.sk","https://metaglucin.sk",5,"medium_risk","meta","",0,0,"false","","","2025-07-01T13:11:39.826Z"
"ns2.casinoapplepay.se","https://ns2.casinoapplepay.se",5,"medium_risk","apple","",0,0,"false","","","2025-07-01T13:12:13.138Z"
"luvisage.sk","https://luvisage.sk",5,"medium_risk","visa","",0,0,"false","","","2025-07-01T13:12:29.542Z"
"metamental.se","https://metamental.se",5,"medium_risk","meta","",0,0,"false","","","2025-07-01T13:12:46.436Z"
"nordiskametallindustri.se","https://nordiskametallindustri.se",5,"medium_risk","meta","",0,0,"false","","","2025-07-01T13:13:19.426Z"
"nordi-paws.se","https://nordi-paws.se",5,"medium_risk","aws","",0,0,"false","","","2025-07-01T13:13:36.008Z"
"devisafe.se","https://devisafe.se",5,"medium_risk","visa","",0,0,"false","","","2025-07-01T13:13:52.641Z"
"dropshipintel.se","https://dropshipintel.se",5,"medium_risk","intel","",0,0,"false","","","2025-07-01T13:14:09.201Z"
"casinomedapplepayutansvensklicens.se","https://casinomedapplepayutansvensklicens.se",5,"medium_risk","apple","",0,0,"false","","","2025-07-01T13:14:59.650Z"
"agmetalart.se","https://agmetalart.se",5,"medium_risk","meta","",0,0,"false","","","2025-07-01T13:15:16.220Z"
"metacoach.sk","https://metacoach.sk",5,"medium_risk","meta","",0,0,"false","","","2025-07-01T13:15:49.410Z"
"ns2.casinomedvisakort.se","https://ns2.casinomedvisakort.se",5,"medium_risk","visa","",0,0,"false","","","2025-07-01T13:16:22.877Z"
"casinoapplepay.se","https://casinoapplepay.se",5,"medium_risk","apple","",0,0,"false","","","2025-07-01T13:17:51.762Z"
"lisaintel.se","https://lisaintel.se",5,"medium_risk","intel","",0,0,"false","","","2025-07-01T13:18:09.870Z"
"teslarobotaxi.nu","https://teslarobotaxi.nu",5,"medium_risk","tesla","",0,0,"false","","","2025-07-01T13:18:43.004Z"
