domain,url,risk_score,category,brand,keywords,vt_malicious,vt_suspicious,urlscan_overall_malicious,urlscan_engines_malicious,urlscan_community_malicious,urlscan_stats_malicious,whois_status,whois_registrar,whois_registration_date,whois_expiration_date,alienvault_verdict,alienvault_malicious,urlvoid_threat_level,urlvoid_detection_ratio,urlvoid_is_threat,vt_available,urlscan_available,whois_available,alienvault_available,urlvoid_available,timestamp
"21lawsofstorytelling.com","https://21lawsofstorytelling.com",19.3,"confirmed_threat","aws","",2,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-24T08:01:59.716Z"
"1004apple.com","https://1004apple.com",18.5,"confirmed_threat","apple","",1,1,"false","false","false",0,"unknown","","","","","false","HIGH",5.128205128205128,"true","true","true","false","false","true","2025-07-24T07:02:27.967Z"
"324applegatetrail.com","https://324applegatetrail.com",18.3,"confirmed_threat","apple","",1,1,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","true","false","false","true","2025-07-24T08:33:20.883Z"
"1microsoft.com","https://1microsoft.com",16,"confirmed_threat","microsoft","",5,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:44:15.774Z"
"1amazonas777.com","https://1amazonas777.com",14,"confirmed_threat","amazon","",3,3,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:37:18.115Z"
"1awsfd65.top","https://1awsfd65.top",14,"confirmed_threat","aws","",3,3,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:37:19.749Z"
"1azurewebsites.net","https://1azurewebsites.net",14,"confirmed_threat","azure","",3,3,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:37:20.551Z"
"0000apple.com","https://0000apple.com",10,"confirmed_threat","apple","",2,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T06:49:08.755Z"
"11apple.com","https://11apple.com",9,"confirmed_threat","apple","",2,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T07:11:34.925Z"
"1-win-bk-apple.click","https://1-win-bk-apple.click",9,"confirmed_threat","apple","",2,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:49:08.377Z"
"322meta.com","https://322meta.com",9,"confirmed_threat","meta","",2,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T08:32:51.853Z"
"11dawsonave.com","https://11dawsonave.com",7,"confirmed_threat","aws","",1,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T07:13:56.402Z"
"urbanpaws.se","https://urbanpaws.se",5,"medium_risk","aws","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:00.171Z"
"drive-google.sk","https://drive-google.sk",5,"medium_risk","google","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:00.957Z"
"accessionintelligence.se","https://accessionintelligence.se",5,"medium_risk","intel","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:02.532Z"
"movisanpodmienky.sk","https://movisanpodmienky.sk",5,"medium_risk","visa","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:03.314Z"
"metalmaster.se","https://metalmaster.se",5,"medium_risk","meta","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:05.686Z"
"pawswholesale.se","https://pawswholesale.se",5,"medium_risk","aws","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:07.260Z"
"intellais.sk","https://intellais.sk",5,"medium_risk","intel","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:08.046Z"
"returmetall.se","https://returmetall.se",5,"medium_risk","meta","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:09.624Z"
"devisafe.se","https://devisafe.se",5,"medium_risk","visa","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:11.989Z"
"bullypaws.se","https://bullypaws.se",5,"medium_risk","aws","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:12.773Z"
"paws-stockholm.se","https://paws-stockholm.se",5,"medium_risk","aws","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:13.555Z"
"incometaxinswedenguide.se","https://incometaxinswedenguide.se",5,"medium_risk","meta","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:14.339Z"
"ahredovisa.se","https://ahredovisa.se",5,"medium_risk","visa","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:17.486Z"
"artificialsuperintelligence.se","https://artificialsuperintelligence.se",5,"medium_risk","intel","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:19.051Z"
"lovisaulrika.se","https://lovisaulrika.se",5,"medium_risk","visa","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:20.618Z"
"superintelligenceai.se","https://superintelligenceai.se",5,"medium_risk","intel","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:21.408Z"
"interintel.ee","https://interintel.ee",5,"medium_risk","intel","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:22.193Z"
"incometaxguide.se","https://incometaxguide.se",5,"medium_risk","meta","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:23.340Z"
"amazonkatextil.sk","https://amazonkatextil.sk",5,"medium_risk","amazon","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:24.143Z"
"pawswholesale.se","https://pawswholesale.se",5,"medium_risk","aws","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:26.520Z"
"invisalignkampanj.se","https://invisalignkampanj.se",5,"medium_risk","visa","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:28.101Z"
"dinredovisare.se","https://dinredovisare.se",5,"medium_risk","visa","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:28.904Z"
"altioraintelligence.se","https://altioraintelligence.se",5,"medium_risk","intel","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:30.476Z"
"awsume.se","https://awsume.se",5,"medium_risk","aws","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:32.051Z"
"whitepurepaws.se","https://whitepurepaws.se",5,"medium_risk","aws","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:33.621Z"
"artificiellgenerellintelligens.se","https://artificiellgenerellintelligens.se",5,"medium_risk","intel","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:34.410Z"
"metalmaster.se","https://metalmaster.se",5,"medium_risk","meta","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:35.199Z"
"whitepaws.ee","https://whitepaws.ee",5,"medium_risk","aws","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:36.812Z"
"intellais.sk","https://intellais.sk",5,"medium_risk","intel","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:37.599Z"
"metabolicreset.se","https://metabolicreset.se",5,"medium_risk","meta","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:39.403Z"
"showpaws.se","https://showpaws.se",5,"medium_risk","aws","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:40.184Z"
"urbanpaws.se","https://urbanpaws.se",5,"medium_risk","aws","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:42.538Z"
"sentinelone.se","https://sentinelone.se",5,"medium_risk","sentinelone","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:43.321Z"
"upplevamazonas.se","https://upplevamazonas.se",5,"medium_risk","amazon","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:44.107Z"
"metaverseai.se","https://metaverseai.se",5,"medium_risk","meta","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:46.466Z"
"metallfakta.se","https://metallfakta.se",5,"medium_risk","meta","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:47.250Z"
"invisalignprovider.nu","https://invisalignprovider.nu",5,"medium_risk","visa","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:48.037Z"
"000apple.xyz","https://000apple.xyz",5,"medium_risk","apple","",0,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T06:49:29.004Z"
"0049apple.app","https://0049apple.app",5,"medium_risk","apple","",0,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T06:50:09.417Z"
"007gametada.com","https://007gametada.com",5,"medium_risk","meta","",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T06:52:09.820Z"
"011-stripe.com","https://011-stripe.com",5,"medium_risk","stripe","",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T06:54:21.079Z"
"012-stripe.com","https://012-stripe.com",5,"medium_risk","stripe","",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T06:54:40.111Z"
"013-stripe.com","https://013-stripe.com",5,"medium_risk","stripe","",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T06:55:00.203Z"
"014-stripe.com","https://014-stripe.com",5,"medium_risk","stripe","",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T06:55:18.630Z"
"015-stripe.com","https://015-stripe.com",5,"medium_risk","stripe","",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T06:55:36.964Z"
"0532oracle.com","https://0532oracle.com",5,"medium_risk","oracle","",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T06:58:18.947Z"
