Metric,Value
Date,20250827
Total Matched Domains,15994904
Total New Domains (After Diff),15070
Domains From Yesterday,15992572

Source Breakdown (New Domains)
Source,Count
ICANN,15070

Category Breakdown (New Domains)
Category,Count
blacklistKeywords_fraud,12247
blacklistKeywords_phishing,1017
enterpriseBrands_it_top_100_extra,760
enterpriseBrands_fortune_100,625
enterpriseBrands_financial,380
enterpriseBrands_cloud_tech,192
blacklistKeywords_crypto_scam,191
blacklistKeywords_malware,139
enterpriseBrands_cybersecurity,25

Top Keywords (New Domains)
Keyword,Count
cl,3888
my,2026
group,1176
service,1074
services,695
web,593
online,523
ww,441
blue,377
mail,361
box,331
pay,326
view,299
business,299
sap,273
www,247
connect,240
meta,228
find,215
safe,177
