domain,source,matched_categories,matched_keywords,timestamp
0-mobile.com,ICANN,blacklistKeywords_fraud,mobile,2025-08-26T11:01:09.048017
00p92ciokfar1fd47jsanjous4nocldp.com,ICANN,blacklistKeywords_fraud,cl,2025-08-26T11:01:10.328065
01gjvkmclsrr7av43b0vutp7dpg0qh6g.com,ICANN,blacklistKeywords_fraud,cl,2025-08-26T11:01:11.159911
01tf1m1j9kv24jrrotqb5clm6fpjln0s.com,ICANN,blacklistKeywords_fraud,cl,2025-08-26T11:01:11.329268
0260club.com,ICANN,blacklistKeywords_fraud,cl,2025-08-26T11:01:11.962631
0260racingclub.com,ICANN,blacklistKeywords_fraud,cl,2025-08-26T11:01:11.963516
02zoom.com,ICANN,enterpriseBrands_it_top_100_extra,zoom,2025-08-26T11:01:12.559023
03dheejda2ac57c0p3q3onoj85gccltl.com,ICANN,blacklistKeywords_fraud,cl,2025-08-26T11:01:13.132963
03o26clkb2rb1ik7uq8pbvcpd8io7kmm.com,ICANN,blacklistKeywords_fraud,cl,2025-08-26T11:01:13.242460
03qg7tv2fubankausr4m7o6jpb9n6r9a.com,ICANN,blacklistKeywords_fraud,bank,2025-08-26T11:01:13.263565
0512www.com,ICANN,blacklistKeywords_fraud,www|ww,2025-08-26T11:01:14.111718
053u4qpo5f9eau0hhpetg5ie16lodimg.com,ICANN,enterpriseBrands_it_top_100_extra,hpe,2025-08-26T11:01:14.340556
05online.com,ICANN,blacklistKeywords_fraud,online,2025-08-26T11:01:14.901261
06qu4blhes4jhsfdaqm2pclj4rs30oda.com,ICANN,blacklistKeywords_fraud,cl,2025-08-26T11:01:15.450654
07visa.com,ICANN,enterpriseBrands_financial,visa,2025-08-26T11:01:16.328455
0831web.com,ICANN,blacklistKeywords_fraud,web,2025-08-26T11:01:16.511594
08h8vb3malsmgnf20clrdjn7dec4c93f.com,ICANN,blacklistKeywords_fraud,cl,2025-08-26T11:01:16.903377
0a0jur2apst77l8clvkeoih5e8kvsvtr.com,ICANN,blacklistKeywords_fraud,cl,2025-08-26T11:01:17.762575
0bdklcl975bdc93qf97l9vk1m0kjvbne.com,ICANN,blacklistKeywords_fraud,cl,2025-08-26T11:01:18.225056
0bjhflb8gogo9oqbna5u1fnid5dcqcl2.com,ICANN,blacklistKeywords_fraud,cl,2025-08-26T11:01:18.281447
0clit37nd46761p75n97kbs3feeu0sf1.com,ICANN,blacklistKeywords_fraud,cl,2025-08-26T11:01:18.574923
0dfcl5r19aji6kesmo9mpp73s6l84bbk.com,ICANN,blacklistKeywords_fraud,cl,2025-08-26T11:01:18.821980
0fu224hfu9fuclb0cqo764dfs77ls5he.com,ICANN,blacklistKeywords_fraud,cl,2025-08-26T11:01:19.501188
0i617hr9hdjka376397mk57nnlqclp4k.com,ICANN,blacklistKeywords_fraud,cl,2025-08-26T11:01:20.124487
0klmclq5gaotq712vppn7a0naukukbbc.com,ICANN,blacklistKeywords_fraud,cl,2025-08-26T11:01:20.797404
0oj1516pf32lbclogncjn5mr2c47o04g.com,ICANN,blacklistKeywords_fraud,cl,2025-08-26T11:01:21.825826
0phg24nmqiqmbc459qdkdruclhimmuni.com,ICANN,blacklistKeywords_fraud,cl,2025-08-26T11:01:22.060362
0rnr31ktiehusm1cqh8453g2pcclereu.com,ICANN,blacklistKeywords_fraud,cl,2025-08-26T11:01:22.613625
0s8bvjggu9rrd1t5vdu70tginqcl0k5s.com,ICANN,blacklistKeywords_fraud,cl,2025-08-26T11:01:22.728467
0sapu6mf23tp190emc3uh7meh01dhung.com,ICANN,enterpriseBrands_it_top_100_extra,sap,2025-08-26T11:01:22.747817
0smetall.com,ICANN,enterpriseBrands_fortune_100,meta,2025-08-26T11:01:22.841342
0to1connections.com,ICANN,blacklistKeywords_phishing,connect,2025-08-26T11:01:23.134687
