Metric,Value
Date,20250901
Total Matched Domains,18577414
Total New Domains (After Diff),10181
Domains From Yesterday,18579076
Online Domains,9846
Offline Domains,335

Source Breakdown (New Domains)
Source,Count,Online,Offline
ICANN,10181,9846,335

Category Breakdown (New Domains)
Category,Count
blacklistKeywords_fraud,6037
blacklistKeywords_phishing,4643
blacklistKeywords_hunting_blacklist,3337
blacklistKeywords_crypto_scam,1284
blacklistKeywords_malware,805
enterpriseBrands_it_top_100_extra,496
enterpriseBrands_fortune_100,376
enterpriseBrands_financial,278
enterpriseBrands_cloud_tech,131
enterpriseBrands_cybersecurity,11

Top Keywords (New Domains)
Keyword,Count
id,8034
service,1182
rat,746
group,561
sso,544
ico,456
eth,431
online,350
web,349
global,341
box,226
pay,214
support,186
portal,177
view,176
sap,162
mail,156
corp,146
find,137
owa,130
