domain,url,risk_score,category,brand,keywords,vt_malicious,vt_suspicious,urlscan_overall_malicious,urlscan_engines_malicious,urlscan_community_malicious,urlscan_stats_malicious,whois_status,whois_registrar,whois_registration_date,whois_expiration_date,alienvault_verdict,alienvault_malicious,urlvoid_threat_level,urlvoid_detection_ratio,urlvoid_is_threat,vt_available,urlscan_available,whois_available,alienvault_available,urlvoid_available,timestamp
"flawlessgroup.se","https://flawlessgroup.se",3,"blacklist_match","","group",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T18:41:18.064Z"
"poreclean.se","https://poreclean.se",3,"blacklist_match","","cl",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T18:41:18.872Z"
"ooooclub.sk","https://ooooclub.sk",3,"blacklist_match","","cl",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T18:41:19.667Z"
"wwarning.se","https://wwarning.se",3,"blacklist_match","","ww",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T18:41:20.451Z"
"ns1.srv.webblymedia.se","https://ns1.srv.webblymedia.se",3,"blacklist_match","","web",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T18:41:21.244Z"
"clicknet.se","https://clicknet.se",3,"blacklist_match","","click;cl",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T18:41:22.030Z"
"inscycler.se","https://inscycler.se",3,"blacklist_match","","cl",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T18:41:24.087Z"
"brandtweb.se","https://brandtweb.se",3,"blacklist_match","","web",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T20:03:10.075Z"
"svensktcryptocasino.se","https://svensktcryptocasino.se",3,"blacklist_match","","crypto",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T20:03:13.531Z"
"medionline.se","https://medionline.se",3,"blacklist_match","","online",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T20:03:14.608Z"
"alephcircle.se","https://alephcircle.se",3,"blacklist_match","","cl",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T20:03:15.404Z"
"myvirtuellassistent.se","https://myvirtuellassistent.se",3,"blacklist_match","","my",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T20:03:16.183Z"
"abprosupport.se","https://abprosupport.se",3,"blacklist_match","","support",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T20:03:16.963Z"
"nordiclongevitylabs.se","https://nordiclongevitylabs.se",3,"blacklist_match","","cl",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T20:03:17.750Z"
"online-vino.sk","https://online-vino.sk",3,"blacklist_match","","online",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T20:03:18.529Z"
"lecercle.se","https://lecercle.se",3,"blacklist_match","","cl",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T20:03:19.311Z"
"bitbanken.se","https://bitbanken.se",3,"blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T20:03:20.094Z"
"hyperbaricclinic.se","https://hyperbaricclinic.se",3,"blacklist_match","","cl",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T20:03:20.874Z"
"klimasupport.sk","https://klimasupport.sk",3,"blacklist_match","","support",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T20:03:21.653Z"
"bilparkenbilservice.nu","https://bilparkenbilservice.nu",3,"blacklist_match","","service",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T20:03:22.434Z"
"cleanfinity.sk","https://cleanfinity.sk",3,"blacklist_match","","cl",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T20:03:23.217Z"
"revengeshallpurifymyblood.se","https://revengeshallpurifymyblood.se",3,"blacklist_match","","my",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T20:03:23.996Z"
"fluetecductcleaning.se","https://fluetecductcleaning.se",3,"blacklist_match","","cl",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T20:03:24.777Z"
"safetyguardscandinavia.se","https://safetyguardscandinavia.se",3,"blacklist_match","","safe",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T20:03:26.337Z"
"dryclean.se","https://dryclean.se",3,"blacklist_match","","cl",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T20:03:27.117Z"
"glassluckan.se","https://glassluckan.se",3,"blacklist_match","","ssl",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T20:03:27.895Z"
"gustavshusservice.se","https://gustavshusservice.se",3,"blacklist_match","","service",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T20:03:29.455Z"
"aichemy.sk","https://aichemy.sk",3,"blacklist_match","","my",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T20:03:30.234Z"
"myvelora.se","https://myvelora.se",3,"blacklist_match","","my",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T20:03:31.012Z"
"webshield.sk","https://webshield.sk",3,"blacklist_match","","web",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-08-05T20:03:31.797Z"
