domain,url,risk_score,category,type,brand,keywords,vt_malicious,vt_suspicious,urlscan_overall_malicious,urlscan_engines_malicious,urlscan_community_malicious,urlscan_stats_malicious,whois_status,whois_registrar,whois_registration_date,whois_expiration_date,alienvault_verdict,alienvault_malicious,urlvoid_threat_level,urlvoid_detection_ratio,urlvoid_is_threat,vt_available,urlscan_available,whois_available,alienvault_available,urlvoid_available,timestamp
"blindbox.se","https://blindbox.se",5,"medium_risk","enterprise_target","box","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-25T12:18:15.545Z"
"familjensandell.se","https://familjensandell.se",5,"medium_risk","enterprise_target","dell","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-25T12:18:16.345Z"
"accessionintelligence.se","https://accessionintelligence.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-25T12:18:17.137Z"
"miraaccounting.se","https://miraaccounting.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-25T12:18:17.937Z"
"nutribox.sk","https://nutribox.sk",5,"medium_risk","enterprise_target","box","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-25T12:18:18.723Z"
"dackboxen.se","https://dackboxen.se",5,"medium_risk","enterprise_target","box","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-25T12:18:19.512Z"
"sjostadsfordon.se","https://sjostadsfordon.se",5,"medium_risk","enterprise_target","ford","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-25T12:18:20.299Z"
"sofiastampedesign.se","https://sofiastampedesign.se",5,"medium_risk","enterprise_target","sofi","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-25T12:18:21.086Z"
"sofiastampe.se","https://sofiastampe.se",5,"medium_risk","enterprise_target","sofi","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-25T12:18:21.877Z"
"dinfordonskonslut.se","https://dinfordonskonslut.se",5,"medium_risk","enterprise_target","ford","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-25T12:18:22.677Z"
"metalmaster.se","https://metalmaster.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-25T12:18:23.465Z"
"kidsbank.se","https://kidsbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-25T12:18:24.253Z"
"boxtune.se","https://boxtune.se",5,"medium_risk","enterprise_target","box","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-25T12:18:25.041Z"
