domain,url,risk_score,category,brand,keywords,vt_malicious,vt_suspicious,urlscan_overall_malicious,urlscan_engines_malicious,urlscan_community_malicious,urlscan_stats_malicious,whois_status,whois_registrar,whois_registration_date,whois_expiration_date,alienvault_verdict,alienvault_malicious,urlvoid_threat_level,urlvoid_detection_ratio,urlvoid_is_threat,vt_available,urlscan_available,whois_available,alienvault_available,urlvoid_available,timestamp
"18box.top","https://18box.top",23,"confirmed_threat","box","",9,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-25T12:46:35.318Z"
"360squared.com","https://360squared.com",20.5,"confirmed_threat","square","",2,1,"false","false","false",0,"unknown","","","","","false","HIGH",5.128205128205128,"true","true","false","false","false","true","2025-07-25T13:33:21.617Z"
"11apple.com","https://11apple.com",19.3,"confirmed_threat","apple","",2,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","true","false","false","true","2025-07-25T12:29:17.777Z"
"1whatsapp.com","https://1whatsapp.com",19.3,"confirmed_threat","sap","",2,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T12:53:52.815Z"
"1004apple.com","https://1004apple.com",18.5,"confirmed_threat","apple","",1,1,"false","false","false",0,"unknown","","","","","false","HIGH",5.128205128205128,"true","true","true","false","false","true","2025-07-25T12:23:38.765Z"
"324applegatetrail.com","https://324applegatetrail.com",18.3,"confirmed_threat","apple","",1,1,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T13:28:55.197Z"
"404box.net","https://404box.net",16.3,"confirmed_threat","box","",0,1,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T13:45:10.853Z"
"365auto-boxora.store","https://365auto-boxora.store",15.3,"confirmed_threat","box","",0,0,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","false","false","false","false","true","2025-07-25T13:34:43.312Z"
"58heavymetalclothingcompany.online","https://58heavymetalclothingcompany.online",15.3,"confirmed_threat","meta","",0,0,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T14:13:45.233Z"
"59590723mghisap517.top","https://59590723mghisap517.top",15.3,"confirmed_threat","sap","",0,0,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T14:13:46.036Z"
"59visa.com","https://59visa.com",15.3,"confirmed_threat","visa","",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T14:15:16.073Z"
"1amazonas777.com","https://1amazonas777.com",14,"confirmed_threat","amazon","",3,3,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-25T12:48:39.010Z"
"1awsfd65.top","https://1awsfd65.top",14,"confirmed_threat","aws","",3,3,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-25T12:48:40.611Z"
"1azurewebsites.net","https://1azurewebsites.net",14,"confirmed_threat","azure","",3,3,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-25T12:48:41.412Z"
