domain,url,risk_score,category,type,brand,keywords,vt_malicious,vt_suspicious,urlscan_overall_malicious,urlscan_engines_malicious,urlscan_community_malicious,urlscan_stats_malicious,whois_status,whois_registrar,whois_registration_date,whois_expiration_date,alienvault_verdict,alienvault_malicious,urlvoid_threat_level,urlvoid_detection_ratio,urlvoid_is_threat,vt_available,urlscan_available,whois_available,alienvault_available,urlvoid_available,timestamp
"norrlandsmaskinservice.nu","https://norrlandsmaskinservice.nu",3,"blacklist_match","blacklist_match","","service",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:14:51.967Z"
"stadservicekarin.se","https://stadservicekarin.se",3,"blacklist_match","blacklist_match","","service",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:14:52.783Z"
"ratemydorm.sk","https://ratemydorm.sk",3,"blacklist_match","blacklist_match","","my",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:14:53.580Z"
"elasticke-sklo.sk","https://elasticke-sklo.sk",5,"medium_risk","enterprise_target","elastic","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:14:54.369Z"
"cloudwp.sk","https://cloudwp.sk",3,"blacklist_match","blacklist_match","","cl",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:14:55.157Z"
"zeroclick.se","https://zeroclick.se",3,"blacklist_match","blacklist_match","","click;cl",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:14:55.944Z"
"momentsbysofia.se","https://momentsbysofia.se",5,"medium_risk","enterprise_target","sofi","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:14:56.729Z"
"revolutionwrapfilm.se","https://revolutionwrapfilm.se",5,"medium_risk","enterprise_target","revolut","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:14:57.520Z"
"juristportal.se","https://juristportal.se",3,"blacklist_match","blacklist_match","","portal",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:14:58.307Z"
"stakecrypto.se","https://stakecrypto.se",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:14:59.096Z"
"zeocem-mining.sk","https://zeocem-mining.sk",3,"blacklist_match","blacklist_match","","mining",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:14:59.884Z"
"vemyra.nu","https://vemyra.nu",3,"blacklist_match","blacklist_match","","my",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:15:00.674Z"
"holstmail.se","https://holstmail.se",3,"blacklist_match","blacklist_match","","mail",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:15:01.462Z"
"familybusinesslegacy.sk","https://familybusinesslegacy.sk",3,"blacklist_match","blacklist_match","","business",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:15:02.262Z"
"botniagoldmining.se","https://botniagoldmining.se",3,"blacklist_match","blacklist_match","","mining",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:15:03.054Z"
"portaltrooper.se","https://portaltrooper.se",3,"blacklist_match","blacklist_match","","portal",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:15:03.845Z"
"keszegovaclean.sk","https://keszegovaclean.sk",3,"blacklist_match","blacklist_match","","cl",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:15:04.632Z"
"aceaccountants.se","https://aceaccountants.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:15:05.422Z"
"cryptocartel.sk","https://cryptocartel.sk",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:15:06.215Z"
"botniagoldmining.nu","https://botniagoldmining.nu",3,"blacklist_match","blacklist_match","","mining",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:15:07.001Z"
"sjomyrgard.se","https://sjomyrgard.se",3,"blacklist_match","blacklist_match","","my",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:15:07.788Z"
"pevnedomy.sk","https://pevnedomy.sk",3,"blacklist_match","blacklist_match","","my",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:15:08.576Z"
"claims-portal.se","https://claims-portal.se",3,"blacklist_match","blacklist_match","","portal",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:15:09.365Z"
"aiforbusiness.sk","https://aiforbusiness.sk",3,"blacklist_match","blacklist_match","","business",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:15:10.158Z"
"alphclothing.se","https://alphclothing.se",3,"blacklist_match","blacklist_match","","cl",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:15:10.950Z"
"sofiastampe.se","https://sofiastampe.se",5,"medium_risk","enterprise_target","sofi","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:15:11.745Z"
"eriksson-entreprenad-service.se","https://eriksson-entreprenad-service.se",3,"blacklist_match","blacklist_match","","service",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:15:12.534Z"
"wpclouds.sk","https://wpclouds.sk",3,"blacklist_match","blacklist_match","","cl",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:15:13.324Z"
"airclipsweden.se","https://airclipsweden.se",3,"blacklist_match","blacklist_match","","cl",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:15:14.115Z"
"adiservice.se","https://adiservice.se",3,"blacklist_match","blacklist_match","","service",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:15:14.903Z"
"cleanyourshit.se","https://cleanyourshit.se",3,"blacklist_match","blacklist_match","","cl",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:15:15.692Z"
"artportal.sk","https://artportal.sk",3,"blacklist_match","blacklist_match","","portal",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:15:16.477Z"
"metronomonline.se","https://metronomonline.se",3,"blacklist_match","blacklist_match","","online",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-26T17:15:17.263Z"
