domain,url,risk_score,category,brand,keywords,vt_malicious,vt_suspicious,urlscan_overall_malicious,urlscan_engines_malicious,urlscan_community_malicious,urlscan_stats_malicious,whois_status,whois_registrar,whois_registration_date,whois_expiration_date,alienvault_verdict,alienvault_malicious,urlvoid_threat_level,urlvoid_detection_ratio,urlvoid_is_threat,vt_available,urlscan_available,whois_available,alienvault_available,urlvoid_available,timestamp
"1declinepayment.com","https://1declinepayment.com",29,"confirmed_threat","","payment",12,2,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-22T10:56:12.482Z"
"18593-crypto.com","https://18593-crypto.com",21,"confirmed_threat","","crypto",9,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-22T10:47:53.923Z"
"186bitcoin.info","https://186bitcoin.info",21,"confirmed_threat","","bitcoin",9,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-22T10:47:54.724Z"
"188bitcoin.info","https://188bitcoin.info",21,"confirmed_threat","","bitcoin",9,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-22T10:47:55.517Z"
"18betlogin.net","https://18betlogin.net",21,"confirmed_threat","","login",9,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-22T10:47:56.316Z"
"18-loginkesinisaja.store","https://18-loginkesinisaja.store",21,"confirmed_threat","","login",9,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-22T10:47:57.109Z"
"18nsfw-verify.xyz","https://18nsfw-verify.xyz",21,"confirmed_threat","","verify",9,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-22T10:47:57.901Z"
"1win-login-bangladesh.com","https://1win-login-bangladesh.com",20.3,"confirmed_threat","","login",2,3,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","true","false","false","true","2025-07-22T11:06:06.246Z"
"2fa-login.com","https://2fa-login.com",20,"confirmed_threat","","login",8,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-22T11:38:00.303Z"
"2fa-northwest-bank.xyz","https://2fa-northwest-bank.xyz",20,"confirmed_threat","","bank",8,1,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-22T11:38:01.155Z"
