domain,source,matched_categories,matched_keywords,timestamp
000vincigroupmedia.com,ICANN,blacklistKeywords_fraud,group,2025-08-28T11:59:32.625290
0170k9j4bn7aa7qb08s43ph7po0mnacl.com,ICANN,blacklistKeywords_fraud,cl,2025-08-28T11:59:34.412177
02-club.com,ICANN,blacklistKeywords_fraud,cl,2025-08-28T11:59:34.903759
05ch8lp6beo7s87rt9dcautqkk0clm8j.com,ICANN,blacklistKeywords_fraud,cl,2025-08-28T11:59:38.394296
0834my.com,ICANN,blacklistKeywords_fraud,my,2025-08-28T11:59:40.517198
0aaasmlb5vshm7a8cajcudq3ffhclo68.com,ICANN,blacklistKeywords_fraud,cl,2025-08-28T11:59:42.052650
0bbrieu9c5g8cllsd0chr36b6nlu6s0s.com,ICANN,blacklistKeywords_fraud,cl,2025-08-28T11:59:42.394857
0cl87kfcku17bna8ao1346opve77kjv0.com,ICANN,blacklistKeywords_fraud,cl,2025-08-28T11:59:42.807589
0cm3uivp1ml65kfid1n4qclbl26r5s1b.com,ICANN,blacklistKeywords_fraud,cl,2025-08-28T11:59:42.819736
0d8ihkv6krnu21ak0fp7cvb3iro5mclr.com,ICANN,blacklistKeywords_fraud,cl,2025-08-28T11:59:43.011814
0f8jogdpc21mb8uig8lrcljq7bvme2ta.com,ICANN,blacklistKeywords_fraud,cl,2025-08-28T11:59:43.653976
0hcll76lrck87jhhesfs18fiacqo0s8o.com,ICANN,blacklistKeywords_fraud,cl,2025-08-28T11:59:44.302756
0krfgvf8ul6c9aktd29uibmbl87ia1b0.com,ICANN,enterpriseBrands_cloud_tech,ibm,2025-08-28T11:59:45.147356
0m93pqc485a936vd4mssgo6e8iigcl1h.com,ICANN,blacklistKeywords_fraud,cl,2025-08-28T11:59:45.527477
0mjrkqnqgnq723lhdlcl87ihhujnfd4p.com,ICANN,blacklistKeywords_fraud,cl,2025-08-28T11:59:45.620729
0mpno76kqsslsi8bdqu9e07mreja1lh7.com,ICANN,blacklistKeywords_fraud,ssl,2025-08-28T11:59:45.668717
0pqs8im14kv5lclaej9iijeha4e2mjcb.com,ICANN,blacklistKeywords_fraud,cl,2025-08-28T11:59:46.545100
0qo3rntbuqcluknhv85sclr84bj1hbop.com,ICANN,blacklistKeywords_fraud,cl,2025-08-28T11:59:46.808249
0t826lcjs66jclgkd1i1qj92nbct9gfv.com,ICANN,blacklistKeywords_fraud,cl,2025-08-28T11:59:47.553272
0umb1ibm6hdnfj535d3u7vpb7udcu626.com,ICANN,enterpriseBrands_cloud_tech,ibm,2025-08-28T11:59:47.934220
1000slamsclub.com,ICANN,blacklistKeywords_fraud,cl,2025-08-28T11:59:49.247644
100slamsclub.com,ICANN,blacklistKeywords_fraud,cl,2025-08-28T11:59:50.219516
102678-apple.com,ICANN,enterpriseBrands_fortune_100,apple,2025-08-28T11:59:50.976801
114oxfordroad.com,ICANN,enterpriseBrands_fortune_100,ford,2025-08-28T11:59:55.058300
118chelmsford.com,ICANN,enterpriseBrands_fortune_100,ford,2025-08-28T11:59:55.675499
11qweb.com,ICANN,blacklistKeywords_fraud,web,2025-08-28T11:59:56.348285
11surfclub.com,ICANN,blacklistKeywords_fraud,cl,2025-08-28T11:59:56.407209
13thclothing.com,ICANN,blacklistKeywords_fraud,cl,2025-08-28T12:00:01.635251
1420meadowview.com,ICANN,blacklistKeywords_fraud,view,2025-08-28T12:00:02.032473
1440strategygroup.com,ICANN,blacklistKeywords_fraud,group,2025-08-28T12:00:02.255086
145aeroservices.com,ICANN,blacklistKeywords_fraud,service|services,2025-08-28T12:00:02.454289
14koxford.com,ICANN,enterpriseBrands_fortune_100,ford,2025-08-28T12:00:03.179624
1508380bcltd.com,ICANN,blacklistKeywords_fraud,cl,2025-08-28T12:00:03.543354
16cdn.com,ICANN,blacklistKeywords_fraud,cdn,2025-08-28T12:00:06.924825
1706advisorsclarifypro.com,ICANN,blacklistKeywords_fraud,cl,2025-08-28T12:00:07.460803
1799bet-login.com,ICANN,blacklistKeywords_phishing,login,2025-08-28T12:00:08.570595
1800willpay.com,ICANN,blacklistKeywords_fraud,pay,2025-08-28T12:00:09.795735
185s80b1vjbkvf6sr51bvkkv8dvjrqcl.com,ICANN,blacklistKeywords_fraud,cl,2025-08-28T12:00:10.685857
1991group.com,ICANN,blacklistKeywords_fraud,group,2025-08-28T12:00:13.380977
1aceservicesllc.com,ICANN,blacklistKeywords_fraud,service|services,2025-08-28T12:00:14.205095
