domain,url,risk_score,category,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,whois_status,whois_registrar,whois_registration_date,whois_expiration_date,ip_address,country,vt_available,urlscan_available,whois_available,timestamp
"011-stripe.com","https://011-stripe.com",5,"medium_risk","stripe","",0,0,"false","unknown","GMO Internet Group, Inc. d/b/a Onamae.com","2025-06-22T11:33:06Z","2026-06-22T11:33:06Z","","","false","true","true","2025-07-07T11:36:00.228Z"
"012-stripe.com","https://012-stripe.com",5,"medium_risk","stripe","",0,0,"false","unknown","GMO Internet Group, Inc. d/b/a Onamae.com","2025-06-22T11:33:27Z","2026-06-22T11:33:27Z","","","false","true","true","2025-07-07T11:36:16.843Z"
"013betcomlogin.com","https://013betcomlogin.com",5,"medium_risk","","login",0,0,"false","active","Dominet (HK) Limited","2025-06-11T06:24:19Z","2026-06-11T06:24:19Z","","","false","true","true","2025-07-07T11:36:33.604Z"
"013-stripe.com","https://013-stripe.com",5,"medium_risk","stripe","",0,0,"false","unknown","GMO Internet Group, Inc. d/b/a Onamae.com","2025-06-22T11:33:46Z","2026-06-22T11:33:46Z","","","false","true","true","2025-07-07T11:36:50.109Z"
"014-stripe.com","https://014-stripe.com",5,"medium_risk","stripe","",0,0,"false","unknown","GMO Internet Group, Inc. d/b/a Onamae.com","2025-06-22T11:34:04Z","2026-06-22T11:34:04Z","","","false","true","true","2025-07-07T11:37:06.586Z"
"015-stripe.com","https://015-stripe.com",5,"medium_risk","stripe","",0,0,"false","unknown","GMO Internet Group, Inc. d/b/a Onamae.com","2025-06-22T11:34:24Z","2026-06-22T11:34:24Z","","","false","true","true","2025-07-07T11:37:23.479Z"
"017betapplogin.com","https://017betapplogin.com",5,"medium_risk","","login",0,0,"false","active","Dominet (HK) Limited","2025-06-12T07:58:17Z","2026-06-12T07:58:17Z","","","false","true","true","2025-07-07T11:37:40.106Z"
"01athleteintelligence.com","https://01athleteintelligence.com",5,"medium_risk","intel","",0,0,"false","unknown","GoDaddy.com, LLC","2025-06-16T03:31:28Z","2027-06-16T03:31:28Z","","","false","false","true","2025-07-07T11:37:56.586Z"
"01bet-login.com","https://01bet-login.com",5,"medium_risk","","login",0,0,"false","active","Dominet (HK) Limited","2025-06-21T11:44:19Z","2026-06-21T11:44:19Z","","","false","true","true","2025-07-07T11:38:12.875Z"
"01-review-stripe.com","https://01-review-stripe.com",7,"medium_risk","stripe","",0,0,"false","active","Atak Domain Bilgi Teknolojileri A.S.","2025-06-09T23:37:18Z","2026-06-09T23:37:18Z","","","false","false","true","2025-07-07T11:38:29.533Z"
"022apple.com","https://022apple.com",7,"medium_risk","apple","",0,0,"false","active","Xin Net Technology Corporation","2025-06-12T09:25:50Z","2026-06-12T09:25:50Z","","","false","true","true","2025-07-07T11:38:46.258Z"
"02bet-login.com","https://02bet-login.com",5,"medium_risk","","login",0,0,"false","active","Dominet (HK) Limited","2025-06-24T07:44:00Z","2026-06-24T07:44:00Z","","","false","true","true","2025-07-07T11:39:04.737Z"
"02-review-stripe.com","https://02-review-stripe.com",7,"medium_risk","stripe","",0,0,"false","active","Atak Domain Bilgi Teknolojileri A.S.","2025-06-09T23:37:24Z","2026-06-09T23:37:24Z","","","false","false","true","2025-07-07T11:39:21.881Z"
"02ukjulyupdate.com","https://02ukjulyupdate.com",3,"blacklist_match","","update",0,0,"false","unknown","Tucows Domains Inc.","2025-07-02T16:09:20Z","2026-07-02T16:09:20Z","","","false","false","true","2025-07-07T11:39:38.173Z"
"03-review-stripe.com","https://03-review-stripe.com",7,"medium_risk","stripe","",0,0,"false","active","Atak Domain Bilgi Teknolojileri A.S.","2025-06-09T23:37:29Z","2026-06-09T23:37:29Z","","","false","false","true","2025-07-07T11:39:54.324Z"
"04-review-stripe.com","https://04-review-stripe.com",7,"medium_risk","stripe","",0,0,"false","active","Atak Domain Bilgi Teknolojileri A.S.","2025-06-09T23:55:34Z","2026-06-09T23:55:34Z","","","false","true","true","2025-07-07T11:40:11.347Z"
"050bet-login.com","https://050bet-login.com",3,"blacklist_match","","login",0,0,"false","unknown","Key-Systems GmbH","2025-06-29T08:19:37Z","2026-06-29T08:19:37Z","","","false","true","true","2025-07-07T11:40:29.406Z"
"050betlogin.com","https://050betlogin.com",5,"medium_risk","","login",0,0,"false","active","Dominet (HK) Limited","2025-06-21T11:44:18Z","2026-06-21T11:44:18Z","","","false","true","true","2025-07-07T11:40:45.606Z"
"0532oracle.com","https://0532oracle.com",5,"medium_risk","oracle","",0,0,"false","unknown","Name SRS AB","2025-07-01T08:05:15Z","2026-07-01T08:05:15Z","","","false","false","true","2025-07-07T11:41:02.538Z"
"05-review-stripe.com","https://05-review-stripe.com",7,"medium_risk","stripe","",0,0,"false","active","Atak Domain Bilgi Teknolojileri A.S.","2025-06-09T23:37:35Z","2026-06-09T23:37:35Z","","","false","false","true","2025-07-07T11:41:19.183Z"
"05xlogin.com","https://05xlogin.com",3,"blacklist_match","","login",0,0,"false","unknown","Key-Systems GmbH","2025-07-03T09:28:01Z","2026-07-03T09:28:01Z","","","false","true","true","2025-07-07T11:41:36.132Z"
"l7winlogin.com","https://l7winlogin.com",3,"blacklist_match","","login",0,0,"false","unknown","NameCheap, Inc.","2025-06-23T09:00:21Z","2026-06-23T09:00:21Z","","","false","true","true","2025-07-07T11:42:09.769Z"
"l8betlogin.com","https://l8betlogin.com",5,"medium_risk","","login",0,0,"false","active","Dominet (HK) Limited","2025-06-21T08:11:50Z","2026-06-21T08:11:50Z","","","false","true","true","2025-07-07T11:42:27.130Z"
"laaccountingpro.com","https://laaccountingpro.com",3,"blacklist_match","","account",0,0,"false","unknown","GoDaddy.com, LLC","2025-06-17T19:12:12Z","2026-06-17T19:12:12Z","","","false","false","true","2025-07-07T11:42:43.423Z"
"labanksmedicalservices.com","https://labanksmedicalservices.com",3,"blacklist_match","","bank",0,0,"false","unknown","Network Solutions, LLC","2025-06-10T16:34:13Z","2026-06-10T16:34:13Z","","","false","true","true","2025-07-07T11:43:16.583Z"
