domain,url,risk_score,category,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"aaintelligence.se","https://aaintelligence.se",5,"medium_risk","intel","",0,0,"false","","","2025-07-03T13:22:09.063Z"
"applee.ee","https://applee.ee",5,"medium_risk","apple","",0,0,"false","","","2025-07-03T13:23:14.463Z"
"chasen.sk","https://chasen.sk",5,"medium_risk","chase","",0,0,"false","","","2025-07-03T13:23:31.220Z"
"intelliors.ee","https://intelliors.ee",5,"medium_risk","intel","",0,0,"false","","","2025-07-03T13:23:47.838Z"
"visar.ee","https://visar.ee",5,"medium_risk","visa","",0,0,"false","","","2025-07-03T13:25:11.596Z"
"ns1.casinomedapplepay.se","https://ns1.casinomedapplepay.se",5,"medium_risk","apple","",0,0,"false","","","2025-07-03T13:25:27.938Z"
"metami.se","https://metami.se",5,"medium_risk","meta","",0,0,"false","","","2025-07-03T13:26:00.860Z"
"0000apple.com","https://0000apple.com",5,"medium_risk","apple","",0,0,"false","","","2025-07-03T13:27:24.228Z"
"011-stripe.com","https://011-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-03T13:29:03.618Z"
"012-stripe.com","https://012-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-03T13:29:54.713Z"
"013-stripe.com","https://013-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-03T13:30:12.738Z"
"014-stripe.com","https://014-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-03T13:30:29.111Z"
"015-stripe.com","https://015-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-03T13:30:45.532Z"
"01athleteintelligence.com","https://01athleteintelligence.com",5,"medium_risk","intel","",0,0,"false","","","2025-07-03T13:31:01.963Z"
"06-2024-q35ibm9u1u.com","https://06-2024-q35ibm9u1u.com",5,"medium_risk","ibm","",0,0,"false","","","2025-07-03T13:32:41.057Z"
"0meterchasers.com","https://0meterchasers.com",5,"medium_risk","chase","",0,0,"false","","","2025-07-03T13:34:28.266Z"
"0000apple.com","https://0000apple.com",5,"medium_risk","apple","",0,0,"false","","","2025-07-03T13:35:40.640Z"
"0001-stripe.com","https://0001-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-03T13:35:57.284Z"
"011-stripe.com","https://011-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-03T13:40:24.085Z"
"012-stripe.com","https://012-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-03T13:40:40.518Z"
"013-stripe.com","https://013-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-03T13:41:16.376Z"
"014-stripe.com","https://014-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-03T13:41:33.585Z"
"015-stripe.com","https://015-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-03T13:41:50.031Z"
"01athleteintelligence.com","https://01athleteintelligence.com",5,"medium_risk","intel","",0,0,"false","","","2025-07-03T13:42:39.383Z"
"01-review-stripe.com","https://01-review-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-03T13:43:12.076Z"
"022apple.com","https://022apple.com",5,"medium_risk","apple","",0,0,"false","","","2025-07-03T13:43:28.457Z"
"02-review-stripe.com","https://02-review-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-03T13:44:19.084Z"
"02scrapmetal-price.xyz","https://02scrapmetal-price.xyz",5,"medium_risk","meta","",0,0,"false","","","2025-07-03T13:44:35.388Z"
"03-review-stripe.com","https://03-review-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-03T13:44:51.974Z"
"03scrapmetal-price.xyz","https://03scrapmetal-price.xyz",5,"medium_risk","meta","",0,0,"false","","","2025-07-03T13:45:08.399Z"
"04-review-stripe.com","https://04-review-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-03T13:45:24.783Z"
"05-review-stripe.com","https://05-review-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-03T13:46:14.762Z"
"06-2024-q35ibm9u1u.com","https://06-2024-q35ibm9u1u.com",5,"medium_risk","ibm","",0,0,"false","","","2025-07-03T13:46:31.434Z"
"kvlaws.net","https://kvlaws.net",5,"medium_risk","aws","",0,0,"false","","","2025-07-03T13:47:21.007Z"
"kv-metal.com","https://kv-metal.com",5,"medium_risk","meta","",0,0,"false","","","2025-07-03T13:47:38.028Z"
"kwgcpf.com","https://kwgcpf.com",5,"medium_risk","gcp","",0,0,"false","","","2025-07-03T13:49:35.674Z"
"kyawsithu.site","https://kyawsithu.site",5,"medium_risk","aws","",0,0,"false","","","2025-07-03T13:50:26.276Z"
"kyawsoehtike.com","https://kyawsoehtike.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-03T13:50:43.188Z"
"kyawsofa.com","https://kyawsofa.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-03T13:50:59.534Z"
"kylahelpingpaws.org","https://kylahelpingpaws.org",5,"medium_risk","aws","",0,0,"false","","","2025-07-03T13:54:41.336Z"
"kylopaws.com","https://kylopaws.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-03T13:55:14.210Z"
"kylopaws.org","https://kylopaws.org",5,"medium_risk","aws","",0,0,"false","","","2025-07-03T13:55:30.566Z"
"kyrgyzstan-evisa.com","https://kyrgyzstan-evisa.com",5,"medium_risk","visa","",0,0,"false","","","2025-07-03T13:56:03.580Z"
"kytchase.com","https://kytchase.com",5,"medium_risk","chase","",0,0,"false","","","2025-07-03T13:56:37.144Z"
"kyuintelligence.com","https://kyuintelligence.com",5,"medium_risk","intel","",0,0,"false","","","2025-07-03T13:56:54.042Z"
"kyuintelligenceplatform.com","https://kyuintelligenceplatform.com",5,"medium_risk","intel","",0,0,"false","","","2025-07-03T13:57:10.797Z"
"kzgoldenvisa.com","https://kzgoldenvisa.com",5,"medium_risk","visa","",0,0,"false","","","2025-07-03T13:58:19.829Z"
"kz-visa-centre.com","https://kz-visa-centre.com",5,"medium_risk","visa","",0,0,"false","","","2025-07-03T13:58:36.414Z"
