domain,status_code,banned,report_found,has_engine_table,detection_count,undetection_count,unknown_count,total,final_url
0-1visa.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-1visa.com/
0-wallet.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-wallet.com/
0-amazon.com,200,False,True,True,2,37,0,39,https://www.urlvoid.com/scan/0-amazon.com/
0-cl.com,200,False,True,True,4,35,0,39,https://www.urlvoid.com/scan/0-cl.com/
0-hassle-search-engine-submission.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-hassle-search-engine-submission.com/
0-1-2-3domainregisteraslowas795.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-1-2-3domainregisteraslowas795.com/
0-3box.com,200,False,True,True,1,38,0,39,https://www.urlvoid.com/scan/0-3box.com/
0-https-certificate-not-found.com,200,False,True,True,1,38,0,39,https://www.urlvoid.com/scan/0-https-certificate-not-found.com/
0-100academy.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-100academy.com/
0-30mail.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-30mail.com/
0-passlinebet-slowplay-27.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-passlinebet-slowplay-27.com/
0-group.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-group.com/
0-connect.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-connect.com/
0-pay.com,200,False,True,True,1,38,0,39,https://www.urlvoid.com/scan/0-pay.com/
0-1avisa.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-1avisa.com/
0-1group.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-1group.com/
0-1club.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-1club.com/
0-mail.com,200,False,True,True,1,38,0,39,https://www.urlvoid.com/scan/0-mail.com/
0-designing.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-designing.com/
0-bitcoin.com,200,False,True,True,1,38,0,39,https://www.urlvoid.com/scan/0-bitcoin.com/
0-green-island-branford-connecticut-ct-06405.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-green-island-branford-connecticut-ct-06405.com/
0-2cjqicl420an.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-2cjqicl420an.com/
0-800-dryclean.com,200,False,True,True,1,38,0,39,https://www.urlvoid.com/scan/0-800-dryclean.com/
0-squared.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-squared.com/
0-6box.com,200,False,True,True,1,38,0,39,https://www.urlvoid.com/scan/0-6box.com/
0-1-cloud.com,200,False,True,True,1,38,0,39,https://www.urlvoid.com/scan/0-1-cloud.com/
0-email.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-email.com/
0-bankholding.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-bankholding.com/
0-bankgroup.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-bankgroup.com/
0-60exteriorcleaning.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-60exteriorcleaning.com/
